IOIC,Description,Respondents,Source,Decision
1111,Oilseed and g1in farming,0,1,Publish
1112,Vegetable and melon farming,0,1,Publish
1113,Fruit and tree nut farming,0,1,Publish
1114,"Greenhouse, nursery and floriculture production",0,1,Publish
1119,Other crop farming,0,1,Publish
1121,Cattle 1nching and farming,0,1,Publish
1122,Hog and pig farming,0,1,Publish
1123,Poultry and egg production,0,1,Publish
1124,Sheep and goat farming,0,1,Publish
1125,Aquaculture,0,1,Publish
1129,Other animal production,0,1,Publish
1131,Timber t1ct ope1tions,0,1,Publish
1132,Forest nurseries and gathering of forest products,0,1,Publish
1133,Logging,0,1,Publish
1141,Fishing,0,1,Publish
1142,Hunting and t1pping,7,2,Publish
1151,Support activities for crop production,4,2,Publish
1152,Support activities for animal production,1,2,Publish
1153,Support activities for forestry,3,2,Publish
2111,Oil and gas ext1ction,5,2,Publish
2121,Coal mining,1,2,Publish
2122,Metal ore mining,5,2,Publish
2123,Non-metallic mine1l mining and quarrying,2,2,Publish
2131,"Support activities for mining, and oil and gas ext1ction",6,2,Publish
2211,"Electric power gene1tion, t1nsmission and distribution",8,2,Publish
2212,Natu1l gas distribution,3,2,Publish
2213,"Water, sewage and other systems",6,2,Publish
2361,Residential building construction,3,2,Publish
2362,Non-residential building construction,6,2,Publish
2371,Utility system construction,6,2,Publish
2372,Land subdivision,3,2,Publish
2373,"Highway, street and bridge construction",8,2,Publish
2379,Other heavy and civil engineering construction,4,2,Publish
2381,"Foundation, structure, and building exterior cont1ctors",8,2,Publish
2382,Building equipment cont1ctors,3,2,Publish
2383,Building finishing cont1ctors,7,2,Publish
2389,Other specialty t1de cont1ctors,6,2,Publish
3111,Animal food manufacturing,5,2,Publish
3112,G1in and oilseed milling,4,2,Publish
3113,Sugar and confectionery product manufacturing,6,2,Publish
3114,Fruit and vegetable preserving and specialty food manufacturing,1,2,Publish
3115,Dairy product manufacturing,6,2,Publish
3116,Meat product manufacturing,3,2,Publish
3117,Seafood product prepa1tion and packaging,8,2,Publish
3118,Bakeries and tortilla manufacturing,1,2,Publish
3119,Other food manufacturing,1,2,Publish
